DocNo,DDate,CustID,Curncy,Creater,OrdAmt,CreateDate
5030,3/8/16,LIBE,USD,SHERRY,1609.92,3/8/16
5031,3/8/16,TRIMAX,NTD,SHERRY,390506,3/8/16
71329,3/8/16,SAFETYSPECS,USD,ANGELA,3669.4,3/8/16
71330,3/8/16,BUNZL,USD,ANGELA,10085,3/8/16
71331,3/8/16,CONG ,USD,ANGELA,28343.02,3/8/16
71332,3/8/16,CONG ,USD,ANGELA,21231,3/8/16
88394,3/8/16,PELI,USD,VITA,29154,3/8/16
88395,3/8/16,protex,USD,VITA,10627.2,3/8/16
88397,3/8/16,BINTEC,USD,VITA,12745.2,3/8/16
5028,3/7/16,IRID,USD,SHERRY,2210,3/7/16
5029,3/7/16,IRID,USD,SHERRY,3050,3/7/16
50230,3/7/16,SOUVENIR,USD,ADISON,7187.8,3/7/16
50232,3/7/16,SOUVENIR,USD,ADISON,195319.8,3/7/16
50233,3/7/16,OCNI,USD,ADISON,6374,3/7/16
60641,3/7/16,PHU,USD,JUDY,12108,3/7/16
71328,3/7/16,IL SUK,USD,ANGELA,3470,3/7/16
5027,3/4/16,LIBE,USD,SHERRY,59446.08,3/4/16
88393,3/4/16,KONG,USD,VITA,2412,3/4/16
5026,3/3/16,DUNE,USD,SHERRY,4420,3/3/16
88392,3/3/16,OZCO,USD,VITA,42432,3/3/16
9694,3/3/16,YUANLUNG,NTD,ANGELA,34272,3/3/16
5025,3/2/16,VERO,USD,SHERRY,3096,3/2/16
60639,3/2/16,South,USD,ANGELA,35826,3/2/16
60640,3/2/16,TKS,USD,ANGELA,34629.12,3/2/16
88390,3/2/16,MTLK,USD,SHERRY,177355,3/2/16
88391,3/2/16,OJSC,USD,SHERRY,34170,3/2/16
5024,3/1/16,WINT,USD,SHERRY,1475,3/1/16
60638,3/1/16,ERICA OPTICAL,USD,ANGELA,2872,3/1/16
71326,3/1/16,BAN,USD,ANGELA,2066.5,3/1/16
88389,3/1/16,BFH,USD,VITA,1492,3/1/16
88372,2/26/16,TECHWARE,USD,VITA,13635,1/27/16
88388,2/26/16,INTRAS,USD,VITA,1720,2/26/16
71325,2/25/16,SAFETYWARE,USD,ANGELA,5583.7,2/25/16
5023,2/24/16,MAXC,USD,SHERRY,1280,2/24/16
50229,2/24/16,LOOKOPTICS,USD,ANGELA,18265,2/24/16
71323,2/24/16,SCHMERLER,USD,ANGELA,4073,2/24/16
71324,2/24/16,BIGCOMPRA,USD,ANGELA,58254,2/24/16
88387,2/23/16,STRA,USD,VITA,15012,2/23/16
5022,2/22/16,PRO,USD,SHERRY,2577.5,2/22/16
60637,2/22/16,Ploberger,USD,JUDY,630,2/22/16
88385,2/22/16,TECHWARE,USD,VITA,43017.6,2/22/16
88386,2/22/16,LLC,USD,VITA,8211,2/22/16
5021,2/19/16,VICSA-CO,USD,SHERRY,28573.2,2/19/16
50228,2/19/16,LOOKOPTICS,USD,ADISON,175.3,2/19/16
71320,2/19/16,LIBUSB,USD,ANGELA,31827.68,2/19/16
71322,2/19/16,ICON,USD,ANGELA,1296,2/19/16
5019,2/18/16,KLEA,USD,SHERRY,5064.6,2/18/16
5020,2/18/16,IRID,USD,SHERRY,55,2/18/16
71321,2/18/16,SULLYS,USD,ANGELA,4230,2/18/16
88383,2/18/16,BARZ,USD,VITA,6213,2/18/16
88384,2/18/16,KONG,USD,VITA,6576.6,2/18/16
5018,2/17/16,IRID,USD,SHERRY,3037,2/17/16
60636,2/17/16,ICM,USD,JUDY,4560,2/17/16
88357A,2/17/16,GLASSORAMA,USD,VITA,21150.6,2/17/16
88382,2/17/16,PORTWEST,USD,VITA,2442,2/17/16
5017,2/16/16,OPTICAID,USD,SHERRY,3748.68,2/16/16
50227,2/16/16,SOUVENIR,USD,ADISON,127383.9,2/16/16
60635,2/16/16,SC,USD,JUDY,3684.83,2/16/16
71316,2/16/16,ABO,USD,ANGELA,30651,2/16/16
71318,2/16/16,COYOTE,USD,ANGELA,1611,2/16/16
71319,2/16/16,SPEED,USD,ANGELA,240,2/16/16
88380,2/16/16,GGSM,USD,VITA,4721.76,2/16/16
88381,2/16/16,OTELO,USD,VITA,3427.3,2/16/16
5015,2/15/16,LAJO,USD,SHERRY,4542,2/15/16
5016,2/15/16,LAJO,USD,SHERRY,1290,2/15/16
50226,2/15/16,MEDA,USD,ADISON,1766,2/15/16
60633,2/15/16,TOYA,USD,JUDY,30367.47,2/15/16
60634,2/15/16,TKS,USD,JUDY,17236.8,2/15/16
71317,2/15/16,__,NTD,ANGELA,94084.2,2/15/16
88379,2/15/16,ANDERCO,USD,VITA,18720,2/15/16
88377,2/5/16,KAZ,USD,VITA,1188,2/5/16
88378,2/5/16,KONG,USD,VITA,14473.2,2/5/16
5014,2/4/16,UVWR,USD,SHERRY,300,2/4/16
50225,2/4/16,NEWEYE,USD,ADISON,13500,2/4/16
60631,2/4/16,TKS,USD,JUDY,4291.2,2/4/16
60632,2/4/16,__,USD,JUDY,6040,2/4/16
71315,2/4/16,BUNZL,USD,MAY,3207.5,2/4/16
71314,2/3/16,STRATEX,USD,ANGELA,27734.2,2/3/16
88375,2/3/16,EYEREX,USD,VITA,888,2/3/16
88376,2/3/16,CLUTE,USD,VITA,68592,2/3/16
60630,2/2/16,ARAM,USD,JUDY,6725.2,2/2/16
88357,2/2/16,GLASSORAMA,USD,VITA,22949,2/2/16
5012,2/1/16,URSU,USD,SHERRY,2222.4,2/1/16
5013,2/1/16,MAJOR,USD,SHERRY,87420.6,2/1/16
50224,2/1/16,CIVMEC,USD,ADISON,14850,2/1/16
88374,2/1/16,PORTWEST,USD,SHERRY,2530.8,2/1/16
5005,1/30/16,LIBE,USD,SHERRY,42035.04,1/19/16
50223,1/30/16,CONCEG,USD,ADISON,8474,1/30/16
60629,1/29/16,MORI,USD,JUDY,1524,1/29/16
88373,1/29/16,KONG,USD,VITA,945,1/29/16
60627,1/28/16,ESELL,USD,JUDY,6061.96,1/28/16
60628,1/28/16,TKS,USD,JUDY,86.4,1/28/16
71296,1/28/16,SAFETYWARE,USD,ANGELA,151.2,12/23/15
71313,1/27/16,JDM,USD,ANGELA,13138,1/27/16
88359,1/27/16,HERR,USD,VITA,31923,1/15/16
88366,1/27/16,MTLK,USD,VITA,86645,1/22/16
88371,1/27/16,TECHWARE,USD,VITA,1422,1/27/16
5011,1/26/16,IRID,USD,ANGELA,1386,1/26/16
71311,1/26/16,__,NTD,ANGELA,75569.76,1/26/16
71312,1/26/16,__,NTD,ANGELA,56448,1/26/16
88369,1/26/16,KONG,USD,VITA,1756.8,1/26/16
88370,1/26/16,TECHWARE,USD,VITA,8100,1/26/16
71309,1/25/16,PROT-CAP ,USD,ANGELA,42715.8,1/25/16
71310,1/25/16,BOURFU,NTD,ANGELA,145656,1/25/16
88367,1/25/16,KONG,USD,VITA,5040,1/25/16
88368,1/25/16,TECHWARE,USD,VITA,690,1/25/16
5008,1/22/16,VICSA,USD,SHERRY,2479.2,1/22/16
5009,1/22/16,DEGI,USD,SHERRY,24174,1/22/16
5010,1/22/16,UVWR,USD,SHERRY,46440,1/22/16
88364,1/22/16,STEREO,USD,VITA,9180,1/22/16
88365,1/22/16,OJSC,USD,VITA,25700,1/22/16
60626,1/21/16,ICM,USD,JUDY,10203,1/21/16
71308,1/21/16,CE,USD,ANGELA,3500,1/21/16
88362,1/21/16,KAZ,USD,VITA,5340,1/21/16
88363,1/21/16,D&G,USD,VITA,3060,1/21/16
88361,1/20/16,ups,USD,VITA,9105,1/20/16
5006,1/19/16,PATH,USD,SHERRY,10616.4,1/19/16
5007,1/19/16,IRID,USD,SHERRY,240,1/19/16
50119,1/19/16,HAGA,USD,SHERRY,25,1/19/16
60625,1/19/16,Ploberger,EUR,JUDY,2500,1/19/16
40002,1/18/16,UNICRESE,USD,NICK,4800,1/18/16
88360,1/18/16,IS,USD,VITA,8283,1/18/16
60624,1/15/16,SPECTRONICS,USD,JUDY,2100,1/15/16
71307,1/15/16,SPEED,USD,ANGELA,358.5,1/15/16
5004,1/14/16,ROC,USD,SHERRY,984,1/14/16
60623,1/14/16,VIS,USD,JUDY,1551,1/14/16
71306,1/14/16,SPEED,USD,ANGELA,1767,1/14/16
5002,1/13/16,SIER,USD,SHERRY,12378,1/13/16
5003,1/13/16,TOPG,USD,SHERRY,3177,1/13/16
50222,1/13/16,ARABIAN,USD,ADISON,38878,1/13/16
71304,1/13/16,COYOTE,USD,ANGELA,1698,1/13/16
71305,1/13/16,CE,USD,ANGELA,424,1/13/16
88358,1/13/16,LOGA,USD,VITA,29688.8,1/13/16
5001,1/12/16,FULL,USD,SHERRY,4008,1/12/16
60621,1/12/16,Beaver,USD,JUDY,5325.6,1/12/16
60622,1/12/16,KORUS,USD,JUDY,12517.28,1/12/16
71302,1/12/16,PHILLIPS,USD,ANGELA,4254.8,1/12/16
71303,1/12/16,KAWIN,USD,ANGELA,1688.78,1/12/16
88355,1/11/16,TECHWARE,USD,VITA,15200,1/11/16
88356,1/11/16,KONG,USD,VITA,2427,1/11/16
50221,1/8/16,OPTIQUE D,USD,ADISON,4905,1/8/16
60620,1/8/16,Ploberger,USD,JUDY,13547,1/8/16
88349,1/8/16,PORTWEST,USD,VITA,2925,12/29/15
88353,1/8/16,LOCA,USD,JUDY,2841,1/8/16
88354,1/8/16,PALM,USD,VITA,2653.2,1/8/16
4176,1/7/16,MCCOR,USD,SHERRY,15414.24,1/7/16
60619,1/7/16,IBER,USD,JUDY,21936,1/7/16
88352,1/7/16,TECHWARE,USD,JUDY,243,1/7/16
4175,1/6/16,VICSA-AR,USD,SHERRY,58701.6,1/6/16
