DocNo,DDate,CustID,Curncy,Creater,OrdAmt,CreateDate
5030,3/8/16,LIBE,USD,SHERRY,1609.92,3/8/16
5031,3/8/16,TRIMAX,NTD,SHERRY,390506,3/8/16
71329,3/8/16,SAFETYSPECS,USD,ANGELA,3669.4,3/8/16
71330,3/8/16,BUNZL,USD,ANGELA,10085,3/8/16
71331,3/8/16,CONG ,USD,ANGELA,28343.02,3/8/16
71332,3/8/16,CONG ,USD,ANGELA,21231,3/8/16
88394,3/8/16,PELI,USD,VITA,29154,3/8/16
88395,3/8/16,protex,USD,VITA,10627.2,3/8/16
88397,3/8/16,BINTEC,USD,VITA,12745.2,3/8/16
5028,3/7/16,IRID,USD,SHERRY,2210,3/7/16
5029,3/7/16,IRID,USD,SHERRY,3050,3/7/16
50230,3/7/16,SOUVENIR,USD,ADISON,7187.8,3/7/16
50232,3/7/16,SOUVENIR,USD,ADISON,195319.8,3/7/16
50233,3/7/16,OCNI,USD,ADISON,6374,3/7/16
60641,3/7/16,PHU,USD,JUDY,12108,3/7/16
71328,3/7/16,IL SUK,USD,ANGELA,3470,3/7/16
5027,3/4/16,LIBE,USD,SHERRY,59446.08,3/4/16
88393,3/4/16,KONG,USD,VITA,2412,3/4/16
5026,3/3/16,DUNE,USD,SHERRY,4420,3/3/16
88392,3/3/16,OZCO,USD,VITA,42432,3/3/16
9694,3/3/16,YUANLUNG,NTD,ANGELA,34272,3/3/16
5025,3/2/16,VERO,USD,SHERRY,3096,3/2/16
60639,3/2/16,South,USD,ANGELA,35826,3/2/16
60640,3/2/16,TKS,USD,ANGELA,34629.12,3/2/16
88390,3/2/16,MTLK,USD,SHERRY,177355,3/2/16
88391,3/2/16,OJSC,USD,SHERRY,34170,3/2/16
5024,3/1/16,WINT,USD,SHERRY,1475,3/1/16
60638,3/1/16,ERICA OPTICAL,USD,ANGELA,2872,3/1/16
71326,3/1/16,BAN,USD,ANGELA,2066.5,3/1/16
88389,3/1/16,BFH,USD,VITA,1492,3/1/16
88372,2/26/16,TECHWARE,USD,VITA,13635,1/27/16
88388,2/26/16,INTRAS,USD,VITA,1720,2/26/16
71325,2/25/16,SAFETYWARE,USD,ANGELA,5583.7,2/25/16
5023,2/24/16,MAXC,USD,SHERRY,1280,2/24/16
50229,2/24/16,LOOKOPTICS,USD,ANGELA,18265,2/24/16
71323,2/24/16,SCHMERLER,USD,ANGELA,4073,2/24/16
71324,2/24/16,BIGCOMPRA,USD,ANGELA,58254,2/24/16
88387,2/23/16,STRA,USD,VITA,15012,2/23/16
5022,2/22/16,PRO,USD,SHERRY,2577.5,2/22/16
60637,2/22/16,Ploberger,USD,JUDY,630,2/22/16
88385,2/22/16,TECHWARE,USD,VITA,43017.6,2/22/16
88386,2/22/16,LLC,USD,VITA,8211,2/22/16
5021,2/19/16,VICSA-CO,USD,SHERRY,28573.2,2/19/16
50228,2/19/16,LOOKOPTICS,USD,ADISON,175.3,2/19/16
71320,2/19/16,LIBUSB,USD,ANGELA,31827.68,2/19/16
71322,2/19/16,ICON,USD,ANGELA,1296,2/19/16
5019,2/18/16,KLEA,USD,SHERRY,5064.6,2/18/16
5020,2/18/16,IRID,USD,SHERRY,55,2/18/16
71321,2/18/16,SULLYS,USD,ANGELA,4230,2/18/16
88383,2/18/16,BARZ,USD,VITA,6213,2/18/16
88384,2/18/16,KONG,USD,VITA,6576.6,2/18/16
5018,2/17/16,IRID,USD,SHERRY,3037,2/17/16
60636,2/17/16,ICM,USD,JUDY,4560,2/17/16
88357A,2/17/16,GLASSORAMA,USD,VITA,21150.6,2/17/16
88382,2/17/16,PORTWEST,USD,VITA,2442,2/17/16
5017,2/16/16,OPTICAID,USD,SHERRY,3748.68,2/16/16
50227,2/16/16,SOUVENIR,USD,ADISON,127383.9,2/16/16
60635,2/16/16,SC,USD,JUDY,3684.83,2/16/16
71316,2/16/16,ABO,USD,ANGELA,30651,2/16/16
71318,2/16/16,COYOTE,USD,ANGELA,1611,2/16/16
71319,2/16/16,SPEED,USD,ANGELA,240,2/16/16
88380,2/16/16,GGSM,USD,VITA,4721.76,2/16/16
88381,2/16/16,OTELO,USD,VITA,3427.3,2/16/16
5015,2/15/16,LAJO,USD,SHERRY,4542,2/15/16
5016,2/15/16,LAJO,USD,SHERRY,1290,2/15/16
50226,2/15/16,MEDA,USD,ADISON,1766,2/15/16
60633,2/15/16,TOYA,USD,JUDY,30367.47,2/15/16
60634,2/15/16,TKS,USD,JUDY,17236.8,2/15/16
71317,2/15/16,__,NTD,ANGELA,94084.2,2/15/16
88379,2/15/16,ANDERCO,USD,VITA,18720,2/15/16
88377,2/5/16,KAZ,USD,VITA,1188,2/5/16
88378,2/5/16,KONG,USD,VITA,14473.2,2/5/16
5014,2/4/16,UVWR,USD,SHERRY,300,2/4/16
50225,2/4/16,NEWEYE,USD,ADISON,13500,2/4/16
60631,2/4/16,TKS,USD,JUDY,4291.2,2/4/16
60632,2/4/16,____,USD,JUDY,6040,2/4/16
71315,2/4/16,BUNZL,USD,MAY,3207.5,2/4/16
71314,2/3/16,STRATEX,USD,ANGELA,27734.2,2/3/16
88375,2/3/16,EYEREX,USD,VITA,888,2/3/16
88376,2/3/16,CLUTE,USD,VITA,68592,2/3/16
60630,2/2/16,ARAM,USD,JUDY,6725.2,2/2/16
88357,2/2/16,GLASSORAMA,USD,VITA,22949,2/2/16
5012,2/1/16,URSU,USD,SHERRY,2222.4,2/1/16
5013,2/1/16,MAJOR,USD,SHERRY,87420.6,2/1/16
50224,2/1/16,CIVMEC,USD,ADISON,14850,2/1/16
88374,2/1/16,PORTWEST,USD,SHERRY,2530.8,2/1/16
5005,1/30/16,LIBE,USD,SHERRY,42035.04,1/19/16
50223,1/30/16,CONCEG,USD,ADISON,8474,1/30/16
60629,1/29/16,MORI,USD,JUDY,1524,1/29/16
88373,1/29/16,KONG,USD,VITA,945,1/29/16
60627,1/28/16,ESELL,USD,JUDY,6061.96,1/28/16
60628,1/28/16,TKS,USD,JUDY,86.4,1/28/16
71296,1/28/16,SAFETYWARE,USD,ANGELA,151.2,12/23/15
71313,1/27/16,JDM,USD,ANGELA,13138,1/27/16
88359,1/27/16,HERR,USD,VITA,31923,1/15/16
88366,1/27/16,MTLK,USD,VITA,86645,1/22/16
88371,1/27/16,TECHWARE,USD,VITA,1422,1/27/16
5011,1/26/16,IRID,USD,ANGELA,1386,1/26/16
71311,1/26/16,__,NTD,ANGELA,75569.76,1/26/16
71312,1/26/16,__,NTD,ANGELA,56448,1/26/16
88369,1/26/16,KONG,USD,VITA,1756.8,1/26/16
88370,1/26/16,TECHWARE,USD,VITA,8100,1/26/16
71309,1/25/16,PROT-CAP ,USD,ANGELA,42715.8,1/25/16
71310,1/25/16,BOURFU,NTD,ANGELA,145656,1/25/16
88367,1/25/16,KONG,USD,VITA,5040,1/25/16
88368,1/25/16,TECHWARE,USD,VITA,690,1/25/16
5008,1/22/16,VICSA,USD,SHERRY,2479.2,1/22/16
5009,1/22/16,DEGI,USD,SHERRY,24174,1/22/16
5010,1/22/16,UVWR,USD,SHERRY,46440,1/22/16
88364,1/22/16,STEREO,USD,VITA,9180,1/22/16
88365,1/22/16,OJSC,USD,VITA,25700,1/22/16
60626,1/21/16,ICM,USD,JUDY,10203,1/21/16
71308,1/21/16,CE,USD,ANGELA,3500,1/21/16
88362,1/21/16,KAZ,USD,VITA,5340,1/21/16
88363,1/21/16,D&G,USD,VITA,3060,1/21/16
88361,1/20/16,ups,USD,VITA,9105,1/20/16
5006,1/19/16,PATH,USD,SHERRY,10616.4,1/19/16
5007,1/19/16,IRID,USD,SHERRY,240,1/19/16
050119,1/19/16,HAGA,USD,SHERRY,25,1/19/16
60625,1/19/16,Ploberger,EUR,JUDY,2500,1/19/16
40002,1/18/16,UNICRESE,USD,NICK,4800,1/18/16
88360,1/18/16,IS,USD,VITA,8283,1/18/16
60624,1/15/16,SPECTRONICS,USD,JUDY,2100,1/15/16
71307,1/15/16,SPEED,USD,ANGELA,358.5,1/15/16
5004,1/14/16,ROC,USD,SHERRY,984,1/14/16
60623,1/14/16,VIS,USD,JUDY,1551,1/14/16
71306,1/14/16,SPEED,USD,ANGELA,1767,1/14/16
5002,1/13/16,SIER,USD,SHERRY,12378,1/13/16
5003,1/13/16,TOPG,USD,SHERRY,3177,1/13/16
50222,1/13/16,ARABIAN,USD,ADISON,38878,1/13/16
71304,1/13/16,COYOTE,USD,ANGELA,1698,1/13/16
71305,1/13/16,CE,USD,ANGELA,424,1/13/16
88358,1/13/16,LOGA,USD,VITA,29688.8,1/13/16
5001,1/12/16,FULL,USD,SHERRY,4008,1/12/16
60621,1/12/16,Beaver,USD,JUDY,5325.6,1/12/16
60622,1/12/16,KORUS,USD,JUDY,12517.28,1/12/16
71302,1/12/16,PHILLIPS,USD,ANGELA,4254.8,1/12/16
71303,1/12/16,KAWIN,USD,ANGELA,1688.78,1/12/16
88355,1/11/16,TECHWARE,USD,VITA,15200,1/11/16
88356,1/11/16,KONG,USD,VITA,2427,1/11/16
50221,1/8/16,OPTIQUE D,USD,ADISON,4905,1/8/16
60620,1/8/16,Ploberger,USD,JUDY,13547,1/8/16
88349,1/8/16,PORTWEST,USD,VITA,2925,12/29/15
88353,1/8/16,LOCA,USD,JUDY,2841,1/8/16
88354,1/8/16,PALM,USD,VITA,2653.2,1/8/16
4176,1/7/16,MCCOR,USD,SHERRY,15414.24,1/7/16
60619,1/7/16,IBER,USD,JUDY,21936,1/7/16
88352,1/7/16,TECHWARE,USD,JUDY,243,1/7/16
4175,1/6/16,VICSA-AR,USD,SHERRY,58701.6,1/6/16
4171,1/5/16,3F,USD,SHERRY,27256.5,1/5/16
04173A,1/5/16,GLOBAL,USD,SHERRY,9351,1/5/16
04173B,1/5/16,GLOBAL,USD,SHERRY,13894.8,1/5/16
04173C,1/5/16,GLOBAL,USD,SHERRY,7944,1/5/16
4174,1/5/16,VICSA,USD,SHERRY,2503.2,1/5/16
71301,1/5/16,SCHMERLER,USD,ANGELA,29514,1/5/16
50219,1/4/16,LOOKOPTICS,USD,ADISON,21766,1/4/16
50220,1/4/16,SOUVENIR,USD,ADISON,157226.7,1/4/16
60618,1/4/16,TKS,USD,JUDY,5745.6,1/4/16
71300,1/4/16,HELLY,EUR,ANGELA,13262,1/4/16
88351,1/4/16,KONG,USD,VITA,2920.8,1/4/16
4172,12/31/15,UVWR,USD,SHERRY,8880,12/31/15
88350,12/31/15,KONG,USD,VITA,5115,12/31/15
60617,12/30/15,YATO CHINA,USD,JUDY,2668.32,12/30/15
71299,12/30/15,CAPRI OPTICS,USD,ANGELA,6972,12/30/15
88342,12/30/15,D&G,USD,VITA,2650,12/10/15
60616,12/29/15,SAFETMAGS,USD,JUDY,5656,12/29/15
71298,12/29/15,PROFIX,USD,ANGELA,15840,12/29/15
71297,12/24/15,SCHMERLER,USD,ANGELA,27271.54,12/24/15
60615,12/23/15,KONSTANT,USD,JUDY,6048,12/23/15
4170,12/22/15,PASS,USD,SHERRY,2422,12/22/15
60614,12/22/15,CERVA,USD,JUDY,4230,12/22/15
71295,12/22/15,SINHAN,USD,ANGELA,10044,12/22/15
50218,12/21/15,OPTIQUE D,USD,ADISON,1660,12/21/15
4169,12/17/15,IRID,USD,SHERRY,900,12/17/15
60613,12/17/15,JYRSA,USD,JUDY,29325,12/17/15
71294,12/17/15,__,NTD,ANGELA,43470,12/17/15
88348,12/17/15,NEBO,USD,VITA,14311.44,12/17/15
4168,12/16/15,__,NTD,SHERRY,7350,12/16/15
88347,12/16/15,CROM,USD,VITA,9640,12/16/15
71291,12/15/15,STRATEX,USD,ANGELA,3346,12/15/15
71292,12/15/15,LIBUSB,USD,ANGELA,38238.8,12/15/15
71293,12/15/15,JAYU,USD,ANGELA,4401.2,12/15/15
88339,12/15/15,CELICA,USD,VITA,8058,12/15/15
88346,12/15/15,D&G,USD,VITA,1465,12/15/15
4167,12/14/15,GROB,USD,SHERRY,3160,12/14/15
50217,12/14/15,VAVRYS,USD,ADISON,1198,12/14/15
60611,12/14/15,ERICA OPTICAL,USD,ANGELA,4500,12/14/15
60612,12/14/15,Estecs,USD,ANGELA,7011,12/14/15
88345,12/14/15,KESKIN,USD,VITA,80150.48,12/14/15
SG-1214,12/14/15,PORTWEST,USD,VITA,100,12/14/15
4166,12/11/15,ARTI,USD,SHERRY,16500,12/11/15
50216,12/11/15,SOUVENIR,USD,ADISON,151048.8,12/11/15
60610,12/11/15,INNOV,USD,JUDY,1210,12/11/15
71290,12/11/15,MOLNAR,USD,ANGELA,1300,12/11/15
88344,12/11/15,KONG,USD,VITA,1869,12/11/15
4155,12/10/15,JEN,USD,SHERRY,21460,12/10/15
88341,12/10/15,D&G,USD,VITA,3885,12/10/15
88343,12/10/15,PORTWEST,USD,VITA,2808,12/10/15
50215,12/9/15,MUSSE,NTD,ADISON,123323,12/9/15
88340,12/9/15,DG,USD,VITA,15319.2,12/9/15
4165,12/8/15,GATEOPTICAL,USD,SHERRY,10166,12/8/15
20151208,12/8/15,PROS1,USD,SHERRY,12,12/8/15
88337,12/8/15,BALZER,USD,VITA,3603,12/8/15
88338,12/8/15,STRA,USD,VITA,5454,12/8/15
4164,12/7/15,MULT,USD,SHERRY,7990,12/7/15
88334,12/7/15,PORTWEST,USD,VITA,2268,12/7/15
88336,12/7/15,PORTWEST,USD,VITA,4134,12/7/15
60609,12/4/15,work safety-1,USD,JUDY,1980,12/4/15
71288,12/4/15,PACI,USD,ANGELA,5400,12/4/15
71289,12/4/15,HONGBAO,USD,ANGELA,13593,12/4/15
88333,12/4/15,MAPE,USD,VITA,12200,12/4/15
88335,12/4/15,KONG,USD,VITA,2280,12/4/15
4163,12/3/15,FAVO,NTD,SHERRY,30780,12/3/15
71287,12/3/15,KOTO,USD,ANGELA,16259.7,12/3/15
4162,12/2/15,IRID,USD,SHERRY,2147,12/2/15
71286,12/2/15,PT,USD,ANGELA,18165,12/2/15
88332,12/2/15,STOXDAL,USD,VITA,6027,12/2/15
50214,12/1/15,OPTOPLAST,USD,ADISON,4824,12/1/15
60608,12/1/15,AS H&S,USD,JUDY,1031,12/1/15
88330,12/1/15,OJSC,USD,VITA,32250,12/1/15
88331,12/1/15,MTLK,USD,VITA,132400,12/1/15
50213,11/30/15,HAYNE,USD,ADISON,26975,11/30/15
60607,11/30/15,NSP,USD,JUDY,1968,11/30/15
71285,11/30/15,MAPLES,USD,ANGELA,6860.25,11/30/15
4161,11/27/15,pro-grade,NTD,SHERRY,112200,11/27/15
88312B,11/27/15,LOCA,USD,VITA,615,11/27/15
4160,11/26/15,NOIR,USD,SHERRY,2970,11/26/15
4159,11/25/15,LIBE,USD,SHERRY,65127.6,11/25/15
40001,11/24/15,TEKA,USD,NICK,1512,11/24/15
71283,11/24/15,ABO,USD,ANGELA,30850,11/24/15
71284,11/24/15,PEGASO,USD,ANGELA,6960,11/24/15
50212,11/23/15,TOPI,USD,ADISON,5619,11/23/15
71280,11/23/15,CONG ,USD,ANGELA,16415.02,11/23/15
71281,11/23/15,SAFETYWARE,USD,ANGELA,798,11/23/15
71282,11/23/15,CONG ,USD,ANGELA,20282.02,11/23/15
88312A,11/23/15,LOCA,USD,VITA,5175,11/23/15
50211,11/20/15,JI,NTD,ADISON,18370.8,11/20/15
50210,11/19/15,OPTICAL SUPPLY,USD,ADISON,9340,11/19/15
60606,11/19/15,VML,USD,JUDY,10954.5,11/19/15
88328,11/19/15,BALZER,USD,VITA,3873.9,11/19/15
50209,11/18/15,SOUVENIR,USD,ADISON,5362,11/18/15
71279,11/18/15,SPEED,USD,ANGELA,10267,11/18/15
88327,11/18/15,SIAM,USD,VITA,6330,11/18/15
60604,11/17/15,TKS,USD,JUDY,2876,11/17/15
60605,11/17/15,RED ROCK,USD,JUDY,15664,11/17/15
71278,11/17/15,__,NTD,ANGELA,86070.6,11/17/15
88326,11/17/15,NAGY,USD,VITA,1165.15,11/17/15
4158,11/16/15,VICSA-CO,USD,SHERRY,6318,11/16/15
50208,11/16/15,SOUVENIR,USD,ADISON,140526.3,11/16/15
60603,11/16/15,INNOV,USD,JUDY,504,11/16/15
4157,11/13/15,ANDES,USD,SHERRY,5280,11/13/15
71277,11/13/15,SCHMERLER,USD,ANGELA,52910,11/13/15
88325,11/13/15,SEKYE,USD,VITA,17130,11/13/15
4156,11/12/15,IDEAL,USD,SHERRY,32886,11/12/15
60602,11/12/15,TKS,USD,JUDY,5745.6,11/12/15
88317,11/12/15,TECHWARE,USD,VITA,25572,10/16/15
60601,11/11/15,SITE,USD,JUDY,2320,11/11/15
50207,11/10/15,OPTIQUE D,USD,ADISON,1550,11/10/15
60599,11/10/15,ICM,USD,JUDY,600,11/10/15
60600,11/10/15,INNOV,USD,JUDY,2640,11/10/15
71275,11/10/15,ICIS,USD,ANGELA,20655,11/10/15
71276,11/10/15,KS,USD,ANGELA,9346,11/10/15
71272,11/9/15,BUNZL,USD,ANGELA,13260,11/9/15
71273,11/9/15,CHIN LAI,USD,ANGELA,4117.8,11/9/15
4154,11/6/15,LAMP,USD,SHERRY,3255.6,11/6/15
50206,11/6/15,SOUVENIR,USD,SHERRY,9969.6,11/6/15
88324,11/6/15,D&G,USD,VITA,2560,11/6/15
4152,11/5/15,IRID,USD,SHERRY,1825,11/5/15
4153,11/5/15,PRO,USD,SHERRY,2280,11/5/15
4151,11/3/15,OTTICA,USD,SHERRY,6832,11/3/15
60598,11/3/15,UMAIR ,USD,JUDY,29539.3,11/3/15
71271,11/3/15,AL,USD,SHERRY,29660,11/3/15
88323,11/3/15,PELI,USD,VITA,23889,11/3/15
4150,11/2/15,FARK,USD,SHERRY,14817,11/2/15
71270,11/2/15,SCHMERLER,USD,ANGELA,15638,11/2/15
88322,11/2/15,KAZ,USD,VITA,3500,11/2/15
4149,10/30/15,PRIM,USD,VITA,6144,10/30/15
60597,10/30/15,____,USD,JUDY,8800,10/30/15
71268,10/30/15,QATARI,USD,ANGELA,17998.56,10/30/15
71269,10/30/15,IL SUK,USD,ANGELA,740,10/30/15
4148,10/28/15,LIBE,USD,SHERRY,60014.88,10/28/15
60596,10/28/15,ICM,USD,JUDY,8628,10/28/15
71267,10/28/15,SINHAN,USD,ANGELA,11625,10/28/15
50205,10/27/15,MTS,USD,ADISON,7484.52,10/27/15
88321,10/27/15,KONG,USD,VITA,3216,10/27/15
60595,10/26/15,ALBH,USD,JUDY,44540,10/26/15
71266,10/26/15,Hoe Seng,USD,ANGELA,2509,10/26/15
71263,10/22/15,HBI,USD,ANGELA,1640,10/22/15
71264,10/22/15,HUY-2,USD,ANGELA,12771,10/22/15
71265,10/22/15,__,NTD,ANGELA,147168,10/22/15
60594,10/21/15,TOYA,USD,JUDY,38043.24,10/21/15
04147A,10/20/15,SERV,USD,SHERRY,1000,10/20/15
04147B,10/20/15,SERV,USD,SHERRY,4428,10/20/15
04147C,10/20/15,SERV,USD,SHERRY,1260,10/20/15
71262,10/20/15,__,NTD,ANGELA,75569.76,10/20/15
88319,10/20/15,TECHWARE,USD,VITA,10410,10/20/15
88320,10/20/15,DECTRA,USD,VITA,1608,10/20/15
88320A,10/20/15,DECTRA,USD,VITA,5932,10/20/15
50204,10/19/15,DEDRA,USD,SHERRY,8440,10/19/15
88318,10/19/15,PELI,USD,VITA,15528,10/19/15
71261,10/16/15,QSN,USD,ANGELA,4247,10/16/15
60593,10/15/15,SPECTRONICS,USD,ANGELA,700,10/15/15
88316,10/15/15,GGSM,USD,VITA,3090.24,10/15/15
60592,10/14/15,SPECTRONICS,USD,ANGELA,17100,10/14/15
88303,10/14/15,LOGA,USD,VITA,28769.25,9/24/15
4145,10/13/15,IRID,USD,SHERRY,840,10/13/15
4146,10/13/15,IRID,USD,SHERRY,1530,10/13/15
88315,10/13/15,KONG,USD,VITA,17223,10/13/15
4144,10/12/15,PASS,USD,SHERRY,3783,10/12/15
60591,10/12/15,CA,USD,JUDY,2925.12,10/12/15
88310,10/12/15,ups,USD,VITA,6522,10/12/15
88311,10/12/15,D&G,USD,VITA,950,10/12/15
88312,10/12/15,LOCA,USD,VITA,3225,10/12/15
88313,10/12/15,PORTWEST,USD,VITA,1170,10/12/15
88314,10/12/15,PORTWEST,USD,VITA,7020,10/12/15
50203,10/8/15,SOUVENIR,USD,ADISON,133608,10/8/15
9693,10/8/15,YUANLUNG,NTD,JUDY,17850,10/8/15
4143,10/7/15,ROYA,USD,SHERRY,6408,10/7/15
88309,10/7/15,D&G,USD,VITA,5060,10/7/15
71259,10/6/15,LIBUS,USD,ANGELA,10500,10/6/15
71260,10/6/15,BOURFU,NTD,ANGELA,17136,10/6/15
88307,10/6/15,WIGG,USD,VITA,18224.76,10/6/15
88308,10/6/15,MTLK,USD,VITA,106540,10/6/15
4141,10/5/15,MAJOR,USD,SHERRY,56395.8,10/5/15
4142,10/5/15,IRID,USD,SHERRY,8938,10/5/15
4140,10/2/15,DEGI,USD,SHERRY,43278,10/2/15
20151002,10/2/15,PROS1,USD,SHERRY,7,10/2/15
71258,10/2/15,STRATEX,USD,ANGELA,6645,10/2/15
4139,10/1/15,OPTICAID,USD,SHERRY,6088.32,10/1/15
60590A,10/1/15,3G EU,USD,JUDY,17112,10/1/15
60590B,10/1/15,3G EU,USD,JUDY,22948,10/1/15
88304,10/1/15,KONG,USD,VITA,94.5,10/1/15
88305,10/1/15,OFAR-1,USD,VITA,12216,10/1/15
88306,10/1/15,BANGKOK,USD,VITA,6414,10/1/15
4138,9/30/15,VICSA-CO,USD,SHERRY,15048,9/30/15
60588,9/30/15,work safety-1,USD,JUDY,1980,9/30/15
60589,9/30/15,KORUS,USD,JUDY,6533.54,9/30/15
4136,9/29/15,WINT,USD,SHERRY,1886,9/29/15
4137,9/29/15,PATH,USD,SHERRY,7864,9/29/15
50202,9/29/15,NIKKI,USD,ADISON,1020,9/29/15
4135,9/25/15,ROC,USD,SHERRY,1799,9/25/15
4134,9/24/15,LIBE,USD,SHERRY,64202.4,9/24/15
88301,9/24/15,TRAVERS,USD,VITA,2396.56,9/24/15
88302,9/24/15,TRAVERS,USD,VITA,2287.68,9/24/15
71257,9/23/15,PROFIX,USD,ANGELA,40798.2,9/23/15
50201,9/22/15,Suo,USD,ADISON,2875,9/22/15
60585,9/22/15,YATO CHINA,USD,JUDY,5940.47,9/22/15
60587,9/22/15,PROT,USD,JUDY,4370,9/22/15
71256,9/22/15,IL SUK,USD,ANGELA,1295,9/22/15
4132,9/18/15,DEGI,USD,SHERRY,3105,9/18/15
4133,9/18/15,ESPO,USD,SHERRY,18795.3,9/18/15
71255,9/18/15,BOURFU,NTD,ANGELA,84420,9/18/15
4131,9/17/15,OPTICAID,USD,SHERRY,4877.04,9/17/15
60586,9/16/15,INNOV,USD,JUDY,504,9/16/15
71253,9/16/15,MOLNAR,USD,ANGELA,2500,9/16/15
71254,9/16/15,HELLY,USD,ANGELA,6532.8,9/16/15
71252,9/15/15,BOURFU,NTD,ANGELA,29547,9/15/15
71250,9/14/15,LAATUHANSKA,USD,ANGELA,2100,9/14/15
71251,9/14/15,JDM,USD,ANGELA,8298,9/14/15
88300,9/14/15,GROLLS,USD,VITA,23627.4,9/14/15
71249,9/11/15,IL SUK,USD,ANGELA,840,9/11/15
88298,9/11/15,ANDERCO,USD,VITA,25210,9/11/15
88299,9/11/15,GGSM,USD,ANGELA,3702.24,9/11/15
4128,9/10/15,LIBE,USD,SHERRY,10540.8,9/10/15
4129,9/10/15,LIBE,USD,SHERRY,43027.2,9/10/15
4130,9/10/15,FARK,USD,SHERRY,26104,9/10/15
88297,9/10/15,CROM,USD,ANGELA,15705,9/10/15
4127,9/9/15,KROS,USD,ANGELA,19296,9/9/15
71247,9/9/15,CE,USD,ANGELA,27546,9/9/15
71248,9/9/15,ICON,USD,ANGELA,1128,9/9/15
20150908,9/8/15,PROS1,USD,SHERRY,18.72,9/8/15
71245,9/7/15,BUNZL,USD,ANGELA,15730,9/7/15
71246,9/7/15,BAN,USD,ANGELA,2463,9/7/15
88296,9/7/15,TECHWARE,USD,SHERRY,50886,9/7/15
50200,9/4/15,SOUVENIR,USD,ADISON,129943.5,9/4/15
71243,9/4/15,STRATEX,USD,ANGELA,4834,9/4/15
71244,9/4/15,BOURFU,NTD,ANGELA,42210,9/4/15
88295,9/4/15,PARKER,USD,ANGELA,12789,9/4/15
60584,9/3/15,HORIZONE,USD,JUDY,1485,9/3/15
88294,9/3/15,STRA,USD,ANGELA,8801,9/3/15
4125,9/2/15,ROC,USD,SHERRY,630,9/2/15
4126,9/2/15,__,NTD,SHERRY,23100,9/2/15
60582,9/2/15,ERICA OPTICAL,USD,JUDY,2580,9/2/15
71240,9/2/15,__,NTD,ANGELA,43470,9/2/15
71241,9/2/15,SCHMERLER,USD,ANGELA,26904,9/2/15
71242,9/2/15,PHILLIPS,USD,ANGELA,5090,9/2/15
88293,9/1/15,VAC,USD,ANGELA,7531.8,9/1/15
4121,8/31/15,LIBE,USD,SHERRY,1555.2,8/31/15
4122,8/31/15,PROS,USD,SHERRY,36079.9,8/31/15
4123,8/31/15,PROS,USD,SHERRY,8733,8/31/15
4124,8/31/15,GATEOPTICAL,USD,SHERRY,12229,8/31/15
71238,8/31/15,EMIRATES,USD,ANGELA,35265,8/31/15
71239,8/31/15,PRODUSCA-3,USD,ANGELA,29867.04,8/31/15
60583,8/28/15,JM,USD,JUDY,4200,8/28/15
71237,8/28/15,E&M,USD,ANGELA,4040,8/28/15
50199,8/27/15,OPTIQUE D,USD,ADISON,4215,8/27/15
71236,8/27/15,SAFETYSPECS,USD,ANGELA,810,8/27/15
88291,8/27/15,TECHWARE,USD,VITA,10368,8/27/15
50198,8/25/15,E&M,USD,ADISON,3990,8/25/15
